,Sum_of_deals,INDUSTRY,STAGE,CountryCode,Year
0,4770.4707815,-- All industries --,VC,ALL,2012
1,6982.308616,-- All industries --,VC,ALL,2013
2,20365.8035815,-- All industries --,VC,ALL,2014
3,35452.8397905,-- All industries --,VC,ALL,2015
4,39631.7414055,-- All industries --,VC,ALL,2016
5,65137.000574,-- All industries --,VC,ALL,2017
6,87560.945039,-- All industries --,VC,ALL,2018
7,88447.112989,-- All industries --,VC,ALL,2019
8,106076.7387515,-- All industries --,VC,ALL,2020
9,225918.566854,-- All industries --,VC,ALL,2021
10,138809.089085,-- All industries --,VC,ALL,2022
11,113570.077243,-- All industries --,VC,ALL,2023
12,147635.7239055,-- All industries --,VC,ALL,2024
