year,Artificial Intelligence,Computer Networks and Communications,Computer Science (all),Computer Science Applications,Computer Vision and Pattern Recognition,Control and Systems Engineering,Electrical and Electronic Engineering,Information Systems,Signal Processing,Software
2012,7257,3160,5761,4514,2244,2729,3423,2822,1364,6422
2013,7838,2567,5460,5397,2270,3237,3832,2765,1583,6210
2014,8187,3879,6128,6828,2821,4077,4410,3547,1993,7515
2015,9587,5128,7727,9102,3643,5043,5512,3845,3060,9536
2016,12202,8827,8379,11900,5071,5838,6217,4387,4706,9995
2017,16524,13176,9061,15733,7632,5065,8399,6988,6322,12361
2018,18922,16198,12980,18546,8447,7364,11583,8187,7698,14898
2019,24967,21675,18499,25130,13169,9537,18073,11964,9720,19218
2020,30267,22843,21938,28259,13975,12914,21222,12523,10948,22098
2021,37526,30663,21380,37168,16426,15586,28212,18734,13566,26650
2022,47079,40310,21517,54047,19880,17223,38325,26531,16666,29132
2023,65951,51561,23401,67881,29849,22543,46214,31313,22074,33430
2024,76078,56855,28328,74617,30981,26682,48688,32417,24011,35908
